                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 0.7788,                0.86776,                0.96394,                0.15808,                0.13313,                0.09298,                0.07156,                 1.1753,                  3.295,                  1.059,                0.00505,                0.00505,                0.00505
                     52,                0.76911,                0.86585,                0.94779,                0.31957,                0.10682,                0.10145,                0.07479,                 1.1913,                 3.3713,                 1.0614,               0.004951,               0.004951,               0.004951
                     53,                0.77016,                0.83924,                0.95076,                0.25323,                0.15182,                0.10738,                0.08134,                 1.1594,                 3.3301,                 1.0648,               0.004852,               0.004852,               0.004852
                     54,                0.76006,                0.83274,                 0.9485,                0.21717,                0.16102,                0.09693,                0.07248,                 1.1913,                   3.35,                 1.0548,               0.004753,               0.004753,               0.004753
                     55,                0.74965,                0.81585,                0.94322,                0.14807,                0.13235,                0.08529,                 0.0638,                 1.1717,                 3.2984,                  1.075,               0.004654,               0.004654,               0.004654
                     56,                0.74576,                0.79788,                0.95088,                0.28904,                 0.1406,                 0.1013,                0.07712,                 1.1751,                 3.1667,                 1.0696,               0.004555,               0.004555,               0.004555
                     57,                0.74746,                0.79618,                0.94307,                0.29061,                 0.1445,                0.10269,                0.07975,                 1.1626,                 3.1745,                 1.0587,               0.004456,               0.004456,               0.004456
                     58,                   0.73,                0.76899,                0.93913,                0.15871,                0.14979,                0.09932,                0.07686,                 1.1599,                 3.4361,                 1.0542,               0.004357,               0.004357,               0.004357
                     59,                0.72848,                0.75978,                0.93848,                 0.2482,                0.16146,                0.11402,                 0.0866,                 1.1353,                 3.3081,                 1.0553,               0.004258,               0.004258,               0.004258
                     60,                 0.7423,                0.75689,                0.93998,                0.22618,                0.19275,                0.11054,                 0.0854,                 1.1644,                  3.421,                 1.0587,               0.004159,               0.004159,               0.004159
                     61,                0.71368,                0.74143,                0.92507,                0.28906,                0.11627,                0.10043,                0.07552,                 1.1587,                 3.3082,                 1.0465,                0.00406,                0.00406,                0.00406
                     62,                 0.7199,                0.71626,                0.93449,                0.17294,                0.13074,                0.09849,                0.07378,                 1.1751,                 3.4795,                 1.0608,               0.003961,               0.003961,               0.003961
                     63,                0.73496,                0.71688,                0.93505,                0.19013,                0.13842,                0.10743,                0.08135,                 1.1752,                 3.3775,                 1.0741,               0.003862,               0.003862,               0.003862
                     64,                0.72005,                0.73034,                0.93412,                0.20551,                 0.1665,                0.10834,                0.08395,                 1.1536,                 3.3207,                 1.0627,               0.003763,               0.003763,               0.003763
